Date,Year,Country,Precip_mm,Temp_K,SoilMoisture,Evaporation,NDVI,SPI_1,SPI_3,SPI_6,SPI_12,ONI_DJF,ONI_JFM,ONI_FMA,ONI_MAM,ONI_AMJ,ONI_MJJ,ONI_JJA,ONI_JAS,ONI_ASO,ONI_SON,ONI_OND,ONI_NDJ
01/02/2001,2001,Uganda,30.08972065,297.1169901,0.217646943,-0.002674864,0.435885625,-0.61191409,0.066113469,-0.154143542,-0.405389642,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/02/2001,2001,Somalia,0.204519836,298.397888,0.064304772,-0.000193925,0.200078876,-0.459472947,-0.421684943,0.174123188,-0.320763801,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/02/2001,2001,Kenya,10.4023967,299.2183583,0.154214235,-0.001410223,0.3432966,-0.667271678,0.518636325,-0.086120002,-1.490919634,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/03/2001,2001,Ethiopia,53.49773734,297.1610923,0.209429854,-0.001481539,0.296077448,0.795059862,0.408782367,0.786726881,0.310077753,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/03/2001,2001,Somalia,8.030902163,300.2772573,0.067591148,-0.000310256,0.192453232,0.398416251,0.087068578,0.093302526,-0.339753069,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/03/2001,2001,Uganda,134.6930516,296.3445833,0.265720894,-0.003033844,0.451063279,0.950293851,0.683748625,0.37223516,0.124446001,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/03/2001,2001,Kenya,67.39852738,299.4280447,0.165551552,-0.001533813,0.31285273,0.685376599,0.761622572,0.119577081,-0.950652251,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/04/2001,2001,Ethiopia,73.6930057,297.1944752,0.247882891,-0.002214997,0.36259111,-0.918769605,-0.180957925,-0.388152227,0.372950521,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/04/2001,2001,Uganda,178.217343,295.5215545,0.320303416,-0.003662245,0.589370841,0.384626072,0.69789113,0.477945934,0.290153373,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/04/2001,2001,Somalia,53.05630557,300.4445211,0.123829094,-0.001310373,0.250086292,-0.448251779,-0.290874418,-0.640340059,-0.125652305,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/04/2001,2001,Kenya,106.1002156,297.9959767,0.238366906,-0.00269561,0.432200801,-0.249477914,-0.122174099,0.011883714,-0.357080836,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/05/2001,2001,Uganda,150.7556594,295.2814631,0.320742935,-0.003649306,0.617048658,0.291223386,1.076150963,0.790490501,0.973929459,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/05/2001,2001,Ethiopia,92.95987085,297.2051205,0.248750131,-0.002178577,0.406415799,-0.205549138,-0.281145162,-0.45400907,0.571719858,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/05/2001,2001,Somalia,44.83505881,300.7116041,0.130965372,-0.001687566,0.289944287,-0.766858645,-0.853036221,-1.031353151,-0.352993509,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/05/2001,2001,Kenya,46.83616358,298.4016793,0.169070761,-0.001575983,0.397905641,-1.284411044,-0.290824722,-0.182149526,-0.367324071,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/06/2001,2001,Somalia,8.969755858,300.3836333,0.072475843,-0.000403579,0.205649706,-0.762472724,-1.095775849,-0.98433027,-0.336082315,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/06/2001,2001,Uganda,100.1639661,294.442706,0.30316504,-0.003301151,0.557853849,0.404010052,0.634998913,0.919226038,0.491098659,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/06/2001,2001,Kenya,32.735109,296.806181,0.157634117,-0.001164601,0.309703842,0.763674783,-0.533698462,0.009532981,-0.26289626,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/06/2001,2001,Ethiopia,80.01700948,295.946565,0.245565961,-0.001668072,0.316971239,0.009302718,-0.792457584,-0.251804783,0.400479613,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/07/2001,2001,Somalia,11.57304338,299.6635475,0.06724484,-0.000275612,0.219422216,0.124950146,-0.912560244,-0.948715633,-0.276428761,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/07/2001,2001,Kenya,26.36742555,296.0183185,0.152247573,-0.000964129,0.326454443,-0.129753492,-0.622938913,-0.35914023,-0.229438887,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/07/2001,2001,Uganda,112.648911,294.4522728,0.286575736,-0.003223891,0.581348174,0.951695224,0.459229096,0.978557981,0.576198229,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
